uid	ec
A0A0N1GNK6	1.1.3.10
J7LQA3	1.1.3.10
J7LVS7	1.1.3.10
Q0RGV3	1.1.3.10
I4EXS6	1.1.3.10
I4EXQ4	1.1.3.10
G4HXT0	1.1.3.10
B8H6F9	1.1.3.10
A0A1S8A634	1.1.3.10
Q8J2V8	1.1.3.10
A0A0C4YFD9	1.1.3.12
A0A222TNV8	1.1.3.12
A0A2C9D0U4	1.1.3.12
B7QMD1	1.1.3.12
A0A1U9YVN9	1.1.3.12
M5F6A5	1.1.3.12
Q9AJD6	1.1.3.12
A0A0D6IYV5	1.1.3.12
A0A0U1CBT0	1.1.3.12
A0A1U2IP34	1.1.3.12
A0A240B5B1	1.1.3.12
A0A256FUW7	1.1.3.12
A0A248UNQ9	1.1.3.12
A0A256F9H8	1.1.3.12
A0A1Y5T676	1.1.3.12
M4UHN0	1.1.3.12
Q5NT46	1.1.3.12
B7PIZ7	1.1.3.13
B8LTH8	1.1.3.13
M5C7F4	1.1.3.13
M5CH40	1.1.3.13
M5C8F8	1.1.3.13
M5C2L8	1.1.3.13
M5C784	1.1.3.13
M5CB66	1.1.3.13
M5CC52	1.1.3.13
A5LGE0	1.1.3.13
A0A2K4ZDQ6	1.1.3.15
A0A0U5F9V4	1.1.3.15
A0A1Y0XVA5	1.1.3.15
S6DC87	1.1.3.15
A0A1Y0UUM1	1.1.3.15
A0A1A0DC63	1.1.3.15
A0A1F2PDL2	1.1.3.15
A0A1F2PK47	1.1.3.15
A0A2X0SPC1	1.1.3.15
A0A2X0SWG9	1.1.3.15
D4XA33	1.1.3.15
D4XIR1	1.1.3.15
D4XA32	1.1.3.15
D4XA34	1.1.3.15
A0A0M7BTY0	1.1.3.15
A0A0M7NE14	1.1.3.15
A0A0M7LBC1	1.1.3.15
A0A0M7DGE4	1.1.3.15
A0A0M7MCW0	1.1.3.15
E3HEK0	1.1.3.15
E3HEJ9	1.1.3.15
K7S8X4	1.1.3.15
A0A1V6HVB3	1.1.3.15
A1W3D8	1.1.3.15
A1WAZ5	1.1.3.15
A0A1G5LLR7	1.1.3.15
A0A1G5LWX5	1.1.3.15
A0A1P8PH87	1.1.3.15
A0A2U3N1C3	1.1.3.15
A0A1D8C4M1	1.1.3.15
A0A1L7F8E5	1.1.3.15
A0A0G3V1N4	1.1.3.15
A0A0J0UTH7	1.1.3.15
A0A0G3UZA1	1.1.3.15
A0A0N0MLM2	1.1.3.15
A0A0N1ND03	1.1.3.15
A0A0N0MSK1	1.1.3.15
A0A0N1GGN2	1.1.3.15
A0A0N1G0C7	1.1.3.15
A0A1V5PUM4	1.1.3.15
W7ILH9	1.1.3.15
A0A2P9IED3	1.1.3.15
A0A2P9IBG3	1.1.3.15
A0A2P4UIE7	1.1.3.15
A0A1R4G0W3	1.1.3.15
R9PTS0	1.1.3.15
A0A1S7PQU1	1.1.3.15
A0A1S7PQF0	1.1.3.15
A0A1S7PRC0	1.1.3.15
A0A1S7M775	1.1.3.15
A0A1S7MDK7	1.1.3.15
A0A1S7QAV1	1.1.3.15
A0A1S7MDJ1	1.1.3.15
A0A1S7M7E9	1.1.3.15
A0A1S7PEZ0	1.1.3.15
A0A1S7MLC4	1.1.3.15
A0A1S7MKY1	1.1.3.15
A0A1S7Q4R6	1.1.3.15
A0A1S7TXY8	1.1.3.15
A0A1S7TNM3	1.1.3.15
A0A1S7M6N8	1.1.3.15
A0A1S7TNM0	1.1.3.15
A0A1S7NUI0	1.1.3.15
A0A1S7QSK4	1.1.3.15
A0A1S7Q804	1.1.3.15
A0A1S7TY46	1.1.3.15
A0A1S7Q7C1	1.1.3.15
A0A1S7MKX0	1.1.3.15
A0A1S7MDD8	1.1.3.15
A0A1S7PFD1	1.1.3.15
A0A1S7TNM8	1.1.3.15
A0A1S7NUM5	1.1.3.15
A0A1S7QYC4	1.1.3.15
A0A1S7TXX4	1.1.3.15
A0A1S7SNJ9	1.1.3.15
A0A1S7Q0U8	1.1.3.15
A0A1S7Q0Q7	1.1.3.15
A0A1S7SNX1	1.1.3.15
A0A1S7PYD9	1.1.3.15
A0A1S7PZ34	1.1.3.15
A0A1S7PZ14	1.1.3.15
A0A1R4G104	1.1.3.15
A0A0M9IQE6	1.1.3.15
F4G5A4	1.1.3.15
A0A0H5CSE9	1.1.3.15
A0A2S6TT10	1.1.3.15
A0A2S6T084	1.1.3.15
A0A2S6UBM7	1.1.3.15
A0A1V6F3N2	1.1.3.15
A0A2S6TFR6	1.1.3.15
A0A2S6RTL4	1.1.3.15
A0A2P5VKQ3	1.1.3.15
A0A2S6SRY9	1.1.3.15
A0A2S6SET6	1.1.3.15
A0A2S6QUR3	1.1.3.15
A0A2S6T981	1.1.3.15
A0A2S6S414	1.1.3.15
A0A1V6FFS7	1.1.3.15
A0A2S6Q8G6	1.1.3.15
A0A2S6TZ65	1.1.3.15
A0A0N0XID0	1.1.3.15
A0A178XCA5	1.1.3.15
Q3MD83	1.1.3.15
A0A2X0V6P8	1.1.3.15
C7HSG4	1.1.3.15
D4MUZ9	1.1.3.15
A0A173XIA0	1.1.3.15
A0A174CW85	1.1.3.15
D4MUV9	1.1.3.15
D4N087	1.1.3.15
A0A174Q9E6	1.1.3.15
A0A0U5BDM6	1.1.3.15
A0A2I0B889	1.1.3.15
Q9LJH5	1.1.3.15
O49506	1.1.3.15
Q9LRR9	1.1.3.15
Q24JJ8	1.1.3.15
Q9LRS0	1.1.3.15
A0A075WBB5	1.1.3.15
E6L309	1.1.3.15
E6L3P7	1.1.3.15
A8EVV7	1.1.3.15
Q5P8S5	1.1.3.15
Q5P1Z4	1.1.3.15
H1WCY2	1.1.3.15
H1WCY1	1.1.3.15
A2R0X2	1.1.3.15
A2QBA3	1.1.3.15
A1K321	1.1.3.15
D3NRV6	1.1.3.15
I2C8Q5	1.1.3.15
I2C8Q6	1.1.3.15
A0A1Y0XI96	1.1.3.15
A0A1Y0X8V4	1.1.3.15
A0A072P3D3	1.1.3.15
A0A1Y5ZX00	1.1.3.15
Q81GB1	1.1.3.15
Q63E73	1.1.3.15
A0A1G4KV29	1.1.3.15
Q81AQ6	1.1.3.15
D8H684	1.1.3.15
Q81GB2	1.1.3.15
Q63E74	1.1.3.15
A0A2X0YUT7	1.1.3.15
A0A2X0Z6A8	1.1.3.15
A0A2X0YSU8	1.1.3.15
A0A2X1AUD3	1.1.3.15
A0A2X1AWL4	1.1.3.15
A0A2X0XFI9	1.1.3.15
A0A2X1AQ03	1.1.3.15
A0A2X1ASK1	1.1.3.15
Q5WFZ5	1.1.3.15
Q5WAP3	1.1.3.15
Q5WAP2	1.1.3.15
Q5WCX9	1.1.3.15
Q5WCX8	1.1.3.15
Q5WFZ3	1.1.3.15
Q5WFZ4	1.1.3.15
A0A1Y0YNK1	1.1.3.15
A0A2X0YMS7	1.1.3.15
A0A1Y0WK63	1.1.3.15
A0A1Y0WXH0	1.1.3.15
A0A1S9XLN4	1.1.3.15
A0A1X6QH05	1.1.3.15
A0A0H4NZY9	1.1.3.15
A0A150KMR5	1.1.3.15
Q6HLP8	1.1.3.15
Q3EWG9	1.1.3.15
A0RBC0	1.1.3.15
Q3EWG8	1.1.3.15
A0A1E8APH5	1.1.3.15
A0A1V6BHK0	1.1.3.15
A0A1V6BAP2	1.1.3.15
A0A0A7DLL0	1.1.3.15
A0A1Z5H867	1.1.3.15
V4Y1L5	1.1.3.15
A0A086ZI34	1.1.3.15
A0A087D1R1	1.1.3.15
A0A087EIS6	1.1.3.15
A0A0H5BPQ4	1.1.3.15
H6RSV4	1.1.3.15
H6RN14	1.1.3.15
A0A173WSB4	1.1.3.15
A0A174K9N2	1.1.3.15
A0A157QAU9	1.1.3.15
A0A157SVA4	1.1.3.15
A0A157LG89	1.1.3.15
A0A157S5W5	1.1.3.15
A0A0H4W4S4	1.1.3.15
A0A2X4MSF9	1.1.3.15
A0A131IES4	1.1.3.15
A9IQN3	1.1.3.15
A9IQM8	1.1.3.15
A0A0J6F111	1.1.3.15
Q3ZBW2	1.1.3.15
A0A1Y6KMB1	1.1.3.15
A4Z0V5	1.1.3.15
H0T9T4	1.1.3.15
H0TJ83	1.1.3.15
H0TLA1	1.1.3.15
H0SHM2	1.1.3.15
A4Z0U9	1.1.3.15
A5ECI0	1.1.3.15
H0SX51	1.1.3.15
H0SIB8	1.1.3.15
H0SX50	1.1.3.15
A0A1Y6KF81	1.1.3.15
A0A1Y6KSB0	1.1.3.15
A4YVE0	1.1.3.15
A0A1Y6KMB6	1.1.3.15
A5ECH8	1.1.3.15
H0TJ90	1.1.3.15
H0SLS5	1.1.3.15
A5EK29	1.1.3.15
A4Z0U8	1.1.3.15
H0T8W2	1.1.3.15
A0A2H1IK18	1.1.3.15
A0A2H1JFV0	1.1.3.15
A0A2H1IBU8	1.1.3.15
A0A2H1I5T4	1.1.3.15
A0A2H1IWD7	1.1.3.15
A0A2H1J3S6	1.1.3.15
A0A2H1ISP2	1.1.3.15
A0A2H1IBB3	1.1.3.15
A0A2H1I021	1.1.3.15
A0A2H1IGT2	1.1.3.15
A0A2H1JU53	1.1.3.15
A0A2H1JRP0	1.1.3.15
A0A2H1KXQ6	1.1.3.15
A0A2H1I149	1.1.3.15
A0A2H1J173	1.1.3.15
A0A2H1J8I0	1.1.3.15
A0A2H1ISP0	1.1.3.15
A0A2H1K9G7	1.1.3.15
A0A2H1JJR0	1.1.3.15
A0A2H1L7C3	1.1.3.15
A0A2H1L1B1	1.1.3.15
A0A2H1I324	1.1.3.15
A0A2H1JB92	1.1.3.15
A0A2H1JI11	1.1.3.15
A0A2H1IK69	1.1.3.15
A0A2H1IME8	1.1.3.15
A0A2H1I6U1	1.1.3.15
A0A1D7VZD8	1.1.3.15
D4YN11	1.1.3.15
A0A2H1HQD2	1.1.3.15
A0A2H1IYB7	1.1.3.15
A0A2H1JHV0	1.1.3.15
A0A2H1KZ78	1.1.3.15
A0A2H1JRC2	1.1.3.15
A0A1X6WUC8	1.1.3.15
A0A2X1AN19	1.1.3.15
A0A2X1B7J1	1.1.3.15
Q2YII5	1.1.3.15
Q8YB37	1.1.3.15
Q8YB40	1.1.3.15
Q8YI46	1.1.3.15
Q8YB39	1.1.3.15
A0A2X1CE48	1.1.3.15
A0A2X1CFX3	1.1.3.15
A0A2X1GRI6	1.1.3.15
A0A0B6RP43	1.1.3.15
A0A0B6RIG6	1.1.3.15
A0A0H3KGZ2	1.1.3.15
A0A0H3KCE3	1.1.3.15
A0A2X1DBU4	1.1.3.15
B9BCV8	1.1.3.15
A0A0H3KC56	1.1.3.15
Q3JNY7	1.1.3.15
A0A095S1N0	1.1.3.15
A0A0E1S6K3	1.1.3.15
B1HAT1	1.1.3.15
A0A0E1SGM3	1.1.3.15
A3NYZ8	1.1.3.15
A0A0E1SA20	1.1.3.15
A8EI27	1.1.3.15
Q3JNY8	1.1.3.15
Q3JQM9	1.1.3.15
Q3JHC3	1.1.3.15
A0A0E1UZZ2	1.1.3.15
A0A0E1W1E0	1.1.3.15
A0A1E7S220	1.1.3.15
A0A1E7RY84	1.1.3.15
A0A1E7RYN9	1.1.3.15
A0A1E7RZI3	1.1.3.15
A0A1E7S2T3	1.1.3.15
A0A151R600	1.1.3.15
A0A0R3JS23	1.1.3.15
A0A0R3K2G2	1.1.3.15
A0A2X4BD53	1.1.3.15
A0A2X3LLV9	1.1.3.15
M5IPU5	1.1.3.15
A0A011QCS6	1.1.3.15
A0A011MGF2	1.1.3.15
A0A011R8E6	1.1.3.15
A0A011QMR4	1.1.3.15
A0A011MFG6	1.1.3.15
A0A011PT91	1.1.3.15
A0A080LV49	1.1.3.15
A0A080M6P8	1.1.3.15
A0A1V6AQ83	1.1.3.15
A0A1V6AQ50	1.1.3.15
E6N7D7	1.1.3.15
E6N788	1.1.3.15
A0A0T5ZJ82	1.1.3.15
A0A0T5ZUA2	1.1.3.15
W8GFP9	1.1.3.15
A0A1V5YWB7	1.1.3.15
A0A284VRK6	1.1.3.15
D5MNA0	1.1.3.15
A0A0N7HBH8	1.1.3.15
A0A1Q9N8B0	1.1.3.15
A0A2P2E6G0	1.1.3.15
A0A2P2E750	1.1.3.15
A0A160SYH1	1.1.3.15
A0A0T6AJI7	1.1.3.15
A0A0T6AB85	1.1.3.15
A0A2N9LU54	1.1.3.15
A0A2U3KRK1	1.1.3.15
A0A2U3K0S2	1.1.3.15
A0A2N9N869	1.1.3.15
A0A2N9L5T0	1.1.3.15
F4BMG1	1.1.3.15
F4BR76	1.1.3.15
K1KWG0	1.1.3.15
